Test Number, Average Error, Result 1, Result 2, Result 3, Result 4, Result 5, Result 6, Result 7, Result 8, Result 9
307,0.012879,0.500563,-1.76833e-05,0.0003292,0.500374,6.72135e-05,-0.000183449,0.50056,0.973703,0.000426726
308,0.0128382,0.50056,-1.76135e-05,0.0003279,0.500372,6.6948e-05,-0.000182724,0.500558,0.973751,0.000425041
309,0.0127976,0.500558,-1.75441e-05,0.000326609,0.500371,6.66843e-05,-0.000182005,0.500555,0.973799,0.000423367
310,0.0127573,0.500556,-1.74752e-05,0.000325326,0.500369,6.64225e-05,-0.00018129,0.500553,0.973846,0.000421704
311,0.0127172,0.500554,-1.74068e-05,0.000324053,0.500368,6.61625e-05,-0.00018058,0.500551,0.973894,0.000420054
312,0.0126773,0.500552,-1.73389e-05,0.000322788,0.500367,6.59043e-05,-0.000179876,0.500549,0.973941,0.000418415
313,0.0126377,0.500549,-1.72714e-05,0.000321533,0.500365,6.56479e-05,-0.000179176,0.500547,0.973988,0.000416787
314,0.0125984,0.500547,-1.72045e-05,0.000320285,0.500364,6.53933e-05,-0.000178481,0.500545,0.974035,0.00041517
315,0.0125592,0.500545,-1.71379e-05,0.000319047,0.500362,6.51404e-05,-0.000177791,0.500542,0.974081,0.000413564
316,0.0125204,0.500543,-1.70718e-05,0.000317817,0.500361,6.48892e-05,-0.000177105,0.50054,0.974128,0.00041197
317,0.0124817,0.500541,-1.70062e-05,0.000316595,0.500359,6.46398e-05,-0.000176424,0.500538,0.974174,0.000410386
318,0.0124433,0.500539,-1.6941e-05,0.000315381,0.500358,6.4392e-05,-0.000175748,0.500536,0.974219,0.000408813
319,0.0124051,0.500537,-1.68763e-05,0.000314176,0.500357,6.41459e-05,-0.000175076,0.500534,0.974265,0.000407251
320,0.0123671,0.500535,-1.6812e-05,0.000312979,0.500355,6.39015e-05,-0.000174409,0.500532,0.97431,0.000405699
321,0.0123293,0.500533,-1.67481e-05,0.00031179,0.500354,6.36588e-05,-0.000173747,0.50053,0.974355,0.000404158
322,0.0122918,0.500531,-1.66847e-05,0.000310609,0.500353,6.34176e-05,-0.000173089,0.500528,0.9744,0.000402627
323,0.0122545,0.500529,-1.66217e-05,0.000309436,0.500351,6.31781e-05,-0.000172435,0.500526,0.974445,0.000401106
324,0.0122174,0.500527,-1.65591e-05,0.000308271,0.50035,6.29402e-05,-0.000171786,0.500524,0.974489,0.000399596
325,0.0121806,0.500525,-1.64969e-05,0.000307113,0.500349,6.27039e-05,-0.000171141,0.500522,0.974534,0.000398095
326,0.0121439,0.500523,-1.64351e-05,0.000305963,0.500347,6.24691e-05,-0.0001705,0.50052,0.974578,0.000396605
327,0.0121075,0.500521,-1.63738e-05,0.000304821,0.500346,6.22359e-05,-0.000169863,0.500518,0.974622,0.000395124
328,0.0120713,0.500519,-1.63128e-05,0.000303686,0.500345,6.20042e-05,-0.000169231,0.500516,0.974665,0.000393654
329,0.0120353,0.500517,-1.62523e-05,0.000302559,0.500343,6.17741e-05,-0.000168603,0.500514,0.974708,0.000392192
330,0.0119996,0.500515,-1.61921e-05,0.000301439,0.500342,6.15455e-05,-0.000167979,0.500512,0.974752,0.000390741
331,0.011964,0.500513,-1.61324e-05,0.000300327,0.500341,6.13183e-05,-0.000167359,0.50051,0.974795,0.000389299
332,0.0119286,0.500511,-1.6073e-05,0.000299222,0.50034,6.10927e-05,-0.000166743,0.500509,0.974837,0.000387866
333,0.0118935,0.500509,-1.6014e-05,0.000298124,0.500338,6.08685e-05,-0.000166131,0.500507,0.97488,0.000386443
334,0.0118586,0.500507,-1.59554e-05,0.000297033,0.500337,6.06457e-05,-0.000165523,0.500505,0.974922,0.000385029
335,0.0118238,0.500505,-1.58972e-05,0.000295949,0.500336,6.04244e-05,-0.000164919,0.500503,0.974964,0.000383624
336,0.0117893,0.500504,-1.58393e-05,0.000294872,0.500335,6.02046e-05,-0.000164319,0.500501,0.975006,0.000382228
337,0.011755,0.500502,-1.57819e-05,0.000293802,0.500333,5.99861e-05,-0.000163723,0.500499,0.975048,0.000380841
338,0.0117209,0.5005,-1.57248e-05,0.000292739,0.500332,5.97691e-05,-0.00016313,0.500497,0.97509,0.000379463
339,0.011687,0.500498,-1.5668e-05,0.000291683,0.500331,5.95534e-05,-0.000162542,0.500496,0.975131,0.000378094
340,0.0116533,0.500496,-1.56116e-05,0.000290633,0.50033,5.93391e-05,-0.000161957,0.500494,0.975172,0.000376733
341,0.0116197,0.500494,-1.55556e-05,0.00028959,0.500329,5.91262e-05,-0.000161376,0.500492,0.975213,0.000375381
342,0.0115864,0.500493,-1.55e-05,0.000288554,0.500327,5.89146e-05,-0.000160798,0.50049,0.975254,0.000374038
343,0.0115533,0.500491,-1.54446e-05,0.000287524,0.500326,5.87044e-05,-0.000160225,0.500488,0.975295,0.000372703
344,0.0115204,0.500489,-1.53897e-05,0.000286501,0.500325,5.84954e-05,-0.000159654,0.500487,0.975335,0.000371377
345,0.0114876,0.500487,-1.53351e-05,0.000285484,0.500324,5.82878e-05,-0.000159088,0.500485,0.975375,0.000370059
346,0.0114551,0.500486,-1.52808e-05,0.000284474,0.500323,5.80815e-05,-0.000158525,0.500483,0.975415,0.000368749
347,0.0114227,0.500484,-1.52268e-05,0.000283469,0.500322,5.78765e-05,-0.000157965,0.500482,0.975455,0.000367447
348,0.0113906,0.500482,-1.51732e-05,0.000282472,0.50032,5.76728e-05,-0.000157409,0.50048,0.975495,0.000366154
349,0.0113586,0.500481,-1.512e-05,0.00028148,0.500319,5.74703e-05,-0.000156856,0.500478,0.975534,0.000364868
350,0.0113268,0.500479,-1.5067e-05,0.000280494,0.500318,5.72691e-05,-0.000156307,0.500476,0.975574,0.000363591
351,0.0112952,0.500477,-1.50144e-05,0.000279515,0.500317,5.70691e-05,-0.000155761,0.500475,0.975613,0.000362321
352,0.0112638,0.500475,-1.49621e-05,0.000278541,0.500316,5.68704e-05,-0.000155219,0.500473,0.975652,0.000361059
353,0.0112325,0.500474,-1.49102e-05,0.000277574,0.500315,5.66728e-05,-0.00015468,0.500471,0.97569,0.000359805
354,0.0112015,0.500472,-1.48585e-05,0.000276612,0.500314,5.64765e-05,-0.000154144,0.50047,0.975729,0.000358559
355,0.0111706,0.500471,-1.48072e-05,0.000275657,0.500313,5.62814e-05,-0.000153611,0.500468,0.975767,0.00035732
356,0.0111399,0.500469,-1.47562e-05,0.000274707,0.500312,5.60875e-05,-0.000153082,0.500467,0.975806,0.000356089
357,0.0111094,0.500467,-1.47055e-05,0.000273763,0.500311,5.58947e-05,-0.000152556,0.500465,0.975844,0.000354865
358,0.011079,0.500466,-1.46551e-05,0.000272825,0.500309,5.57032e-05,-0.000152033,0.500463,0.975882,0.000353649
359,0.0110488,0.500464,-1.4605e-05,0.000271892,0.500308,5.55127e-05,-0.000151513,0.500462,0.975919,0.00035244
360,0.0110189,0.500462,-1.45552e-05,0.000270965,0.500307,5.53235e-05,-0.000150997,0.50046,0.975957,0.000351239
361,0.010989,0.500461,-1.45057e-05,0.000270044,0.500306,5.51353e-05,-0.000150483,0.500459,0.975994,0.000350044
362,0.0109594,0.500459,-1.44565e-05,0.000269128,0.500305,5.49483e-05,-0.000149973,0.500457,0.976032,0.000348857
363,0.0109299,0.500458,-1.44076e-05,0.000268217,0.500304,5.47624e-05,-0.000149466,0.500455,0.976069,0.000347677
364,0.0109006,0.500456,-1.43589e-05,0.000267312,0.500303,5.45777e-05,-0.000148961,0.500454,0.976106,0.000346504
365,0.0108715,0.500455,-1.43106e-05,0.000266413,0.500302,5.4394e-05,-0.00014846,0.500452,0.976143,0.000345337
366,0.0108425,0.500453,-1.42626e-05,0.000265518,0.500301,5.42114e-05,-0.000147962,0.500451,0.976179,0.000344178
367,0.0108137,0.500452,-1.42148e-05,0.000264629,0.5003,5.40299e-05,-0.000147466,0.500449,0.976216,0.000343026
368,0.010785,0.50045,-1.41674e-05,0.000263746,0.500299,5.38495e-05,-0.000146974,0.500448,0.976252,0.00034188
369,0.0107566,0.500449,-1.41202e-05,0.000262867,0.500298,5.36701e-05,-0.000146484,0.500446,0.976288,0.000340742
370,0.0107283,0.500447,-1.40733e-05,0.000261994,0.500297,5.34918e-05,-0.000145998,0.500445,0.976324,0.000339609
371,0.0107001,0.500446,-1.40266e-05,0.000261125,0.500296,5.33145e-05,-0.000145514,0.500443,0.97636,0.000338484
372,0.0106721,0.500444,-1.39802e-05,0.000260262,0.500295,5.31382e-05,-0.000145033,0.500442,0.976395,0.000337365
373,0.0106443,0.500443,-1.39341e-05,0.000259404,0.500294,5.2963e-05,-0.000144554,0.50044,0.976431,0.000336252
374,0.0106166,0.500441,-1.38883e-05,0.000258551,0.500293,5.27888e-05,-0.000144079,0.500439,0.976466,0.000335147
375,0.0105891,0.50044,-1.38428e-05,0.000257702,0.500292,5.26156e-05,-0.000143606,0.500438,0.976502,0.000334047
376,0.0105617,0.500438,-1.37974e-05,0.000256859,0.500291,5.24434e-05,-0.000143136,0.500436,0.976537,0.000332954
377,0.0105345,0.500437,-1.37524e-05,0.000256021,0.50029,5.22722e-05,-0.000142669,0.500435,0.976572,0.000331867
378,0.0105075,0.500435,-1.37076e-05,0.000255187,0.500289,5.2102e-05,-0.000142204,0.500433,0.976606,0.000330786
379,0.0104806,0.500434,-1.36631e-05,0.000254358,0.500288,5.19328e-05,-0.000141743,0.500432,0.976641,0.000329712
380,0.0104538,0.500433,-1.36188e-05,0.000253534,0.500287,5.17645e-05,-0.000141283,0.50043,0.976675,0.000328643
